Time, Value
21:51:05, 115
21:51:05, 138
21:51:05, 121
21:51:05, 70
21:51:05, 26
21:51:05, 8
21:51:05, 19
21:51:05, 40
21:51:05, 55
21:51:05, 67
21:51:05, 67
21:51:05, 42
21:51:05, 11
21:51:05, 7
21:51:05, 23
21:51:05, 39
21:51:05, 50
21:51:05, 45
21:51:05, 39
21:51:05, 41
21:51:05, 36
21:51:05, 28
21:51:05, 26
21:51:05, 37
21:51:05, 44
21:51:05, 52
21:51:05, 56
21:51:05, 49
21:51:05, 24
21:51:05, -6
21:51:05, -29
21:51:05, -28
21:51:05, -11
21:51:05, 2
21:51:05, 6
21:51:05, 22
21:51:05, 37
21:51:05, 24
21:51:05, 0
21:51:05, -13
21:51:05, -8
21:51:05, 11
21:51:05, 39
21:51:05, 60
21:51:05, 68
21:51:05, 52
21:51:05, 38
21:51:05, 21
21:51:05, 16
21:51:05, 22
21:51:05, 26
21:51:05, 44
21:51:05, 64
21:51:05, 69
21:51:05, 69
21:51:05, 61
21:51:05, 56
21:51:05, 57
21:51:05, 73
21:51:05, 101
21:51:05, 132
21:51:05, 146
21:51:05, 130
21:51:05, 104
21:51:05, 77
21:51:05, 65
21:51:05, 72
21:51:05, 88
21:51:05, 104
21:51:05, 118
21:51:05, 117
21:51:05, 88
21:51:05, 44
21:51:05, 5
21:51:05, -8
21:51:05, 19
21:51:05, 52
21:51:05, 56
21:51:05, 33
21:51:05, 0
21:51:05, -9
21:51:05, -1
21:51:05, 5
21:51:05, 10
21:51:05, 20
21:51:05, 27
21:51:05, 23
21:51:05, 22
21:51:05, 27
21:51:05, 34
21:51:05, 24
21:51:05, 23
21:51:05, 49
21:51:05, 86
21:51:05, 108
21:51:05, 114
21:51:05, 104
21:51:05, 90
21:51:05, 80
21:51:05, 69
21:51:05, 72
21:51:05, 91
21:51:05, 119
21:51:05, 132
21:51:05, 129
21:51:05, 103
21:51:05, 85
21:51:05, 74
21:51:05, 74
21:51:05, 86
21:51:05, 105
21:51:05, 112
