Time, Value
21:48:14, 98
21:48:14, 91
21:48:14, 109
21:48:14, 128
21:48:14, 122
21:48:14, 122
21:48:14, 112
21:48:14, 91
21:48:14, 82
21:48:14, 69
21:48:14, 67
21:48:14, 85
21:48:14, 91
21:48:14, 85
21:48:14, 82
21:48:14, 66
21:48:14, 58
21:48:14, 64
21:48:14, 73
21:48:14, 90
21:48:14, 103
21:48:14, 99
21:48:14, 88
21:48:14, 67
21:48:14, 56
21:48:14, 69
21:48:14, 80
21:48:14, 86
21:48:14, 104
21:48:14, 112
21:48:14, 112
21:48:14, 116
21:48:14, 93
21:48:14, 66
21:48:14, 54
21:48:14, 68
21:48:14, 103
21:48:14, 132
21:48:14, 137
21:48:14, 140
21:48:14, 128
21:48:14, 100
21:48:14, 99
21:48:14, 107
21:48:14, 119
21:48:14, 132
21:48:14, 117
21:48:14, 96
21:48:14, 82
21:48:14, 57
21:48:14, 44
21:48:14, 36
21:48:14, 16
21:48:14, 9
21:48:14, 35
21:48:14, 57
21:48:14, 55
21:48:14, 34
21:48:14, 8
21:48:14, 2
21:48:14, 3
21:48:14, 8
21:48:14, 41
21:48:14, 76
21:48:14, 85
21:48:14, 68
21:48:14, 44
21:48:14, 39
21:48:14, 35
21:48:14, 32
21:48:14, 43
21:48:14, 60
21:48:15, 59
21:48:15, 52
21:48:15, 35
21:48:15, 11
21:48:15, 8
21:48:15, 13
21:48:15, 24
21:48:15, 56
21:48:15, 82
21:48:15, 90
21:48:15, 107
21:48:15, 103
21:48:15, 74
21:48:15, 49
21:48:15, 42
21:48:15, 58
21:48:15, 98
21:48:15, 132
21:48:15, 146
21:48:15, 119
21:48:15, 70
21:48:15, 56
21:48:15, 90
21:48:15, 120
21:48:15, 132
21:48:15, 122
21:48:15, 112
21:48:15, 107
21:48:15, 100
21:48:15, 85
21:48:15, 77
21:48:15, 67
21:48:15, 72
21:48:15, 100
21:48:15, 100
21:48:15, 81
21:48:15, 50
21:48:15, 11
21:48:15, 2
21:48:15, 10
21:48:15, 25
21:48:15, 61
21:48:15, 81
21:48:15, 58
21:48:15, 33
21:48:15, 9
21:48:15, -3
21:48:15, -2
21:48:15, -10
21:48:15, -6
21:48:15, 28
21:48:15, 56
21:48:15, 51
21:48:15, 26
21:48:15, 3
21:48:15, -12
21:48:15, -27
21:48:15, -28
21:48:15, 6
21:48:15, 42
21:48:15, 48
21:48:15, 50
21:48:15, 52
21:48:15, 35
21:48:15, 12
21:48:15, 6
21:48:15, 27
21:48:15, 69
21:48:15, 82
21:48:15, 68
21:48:15, 43
21:48:15, 16
