Time, Value
21:55:17, 69
21:55:17, 60
21:55:17, 51
21:55:17, 37
21:55:17, 17
21:55:17, -14
21:55:17, -33
21:55:17, -22
21:55:17, -28
21:55:17, -54
21:55:17, -72
21:55:17, -82
21:55:17, -99
21:55:17, -109
21:55:17, -107
21:55:17, -94
21:55:17, -76
21:55:17, -67
21:55:17, -72
21:55:17, -74
21:55:17, -59
21:55:17, -43
21:55:17, -28
21:55:17, -3
21:55:17, 35
21:55:17, 68
21:55:17, 75
21:55:17, 64
21:55:17, 64
21:55:17, 74
21:55:17, 82
21:55:17, 82
21:55:17, 100
21:55:17, 133
21:55:17, 147
21:55:17, 132
21:55:17, 118
21:55:17, 124
21:55:17, 167
21:55:17, 217
21:55:17, 233
21:55:17, 212
21:55:17, 194
21:55:17, 208
21:55:17, 232
21:55:17, 240
21:55:17, 230
21:55:17, 221
21:55:17, 213
21:55:17, 215
21:55:17, 217
21:55:17, 210
21:55:17, 199
21:55:17, 171
21:55:17, 148
21:55:17, 123
21:55:17, 100
21:55:17, 85
21:55:17, 71
21:55:17, 53
21:55:17, 41
21:55:17, 37
21:55:17, 39
21:55:17, 43
21:55:17, 45
21:55:17, 53
21:55:17, 60
21:55:17, 70
21:55:17, 76
21:55:17, 69
21:55:17, 65
21:55:17, 74
21:55:17, 106
21:55:17, 134
21:55:17, 134
21:55:17, 136
21:55:17, 146
21:55:17, 128
21:55:17, 108
21:55:17, 108
21:55:17, 107
21:55:17, 92
21:55:17, 75
21:55:17, 72
21:55:17, 68
21:55:17, 66
21:55:17, 80
21:55:17, 86
21:55:17, 104
21:55:17, 130
21:55:17, 152
21:55:17, 172
21:55:17, 179
21:55:17, 157
21:55:17, 133
21:55:17, 121
21:55:17, 128
21:55:17, 132
21:55:17, 118
21:55:17, 114
21:55:17, 124
21:55:17, 138
21:55:17, 139
21:55:17, 122
21:55:17, 100
21:55:17, 99
21:55:17, 109
21:55:17, 118
21:55:17, 113
21:55:17, 69
21:55:17, 22
21:55:17, 1
21:55:17, 5
21:55:17, 9
21:55:17, -12
21:55:17, -46
21:55:17, -68
21:55:17, -58
21:55:17, -28
21:55:17, -20
21:55:17, -39
21:55:17, -49
21:55:17, -24
21:55:17, -2
21:55:17, -13
21:55:17, -34
21:55:17, -40
21:55:17, -45
21:55:17, -49
21:55:17, -55
21:55:17, -60
21:55:17, -75
21:55:17, -102
21:55:17, -103
21:55:17, -75
21:55:17, -52
21:55:17, -54
21:55:17, -70
21:55:17, -76
21:55:17, -58
21:55:17, -36
21:55:17, -29
21:55:17, -23
21:55:17, -8
21:55:17, -7
21:55:17, -20
21:55:17, -36
21:55:17, -26
21:55:17, 4
21:55:17, 18
21:55:17, 10
21:55:17, -11
21:55:17, -35
21:55:17, -37
21:55:17, -27
21:55:17, -22
21:55:17, -19
21:55:17, -21
21:55:17, -28
21:55:17, -35
21:55:17, -38
21:55:17, -39
21:55:17, -35
21:55:17, -34
21:55:17, -39
21:55:17, -45
21:55:17, -38
21:55:17, -23
21:55:17, -22
21:55:17, -28
21:55:17, -28
21:55:17, -8
21:55:17, 7
21:55:17, 11
21:55:17, 12
21:55:17, 9
21:55:17, 4
21:55:17, 6
21:55:17, 4
21:55:17, -2
21:55:17, -2
21:55:17, 1
21:55:17, -6
21:55:17, -20
21:55:17, -20
21:55:17, 0
21:55:17, 9
21:55:17, -3
21:55:17, -18
21:55:17, -19
21:55:17, -20
21:55:17, -19
21:55:17, -23
21:55:17, -28
21:55:17, -25
21:55:17, -9
21:55:17, 4
21:55:17, 8
21:55:17, 6
21:55:17, 4
21:55:17, 7
21:55:17, 7
21:55:17, 12
21:55:17, 26
21:55:17, 41
21:55:17, 51
21:55:17, 49
21:55:17, 76
21:55:17, 81
21:55:17, 61
21:55:17, 54
21:55:17, 66
21:55:17, 90
21:55:17, 115
21:55:17, 128
21:55:17, 132
21:55:17, 150
21:55:17, 178
21:55:17, 177
21:55:17, 156
21:55:17, 146
21:55:17, 160
21:55:17, 183
21:55:17, 183
21:55:17, 168
21:55:17, 156
21:55:17, 165
21:55:17, 186
21:55:17, 201
21:55:17, 199
21:55:17, 172
21:55:17, 149
21:55:17, 145
21:55:17, 140
21:55:17, 140
21:55:17, 144
21:55:17, 145
21:55:17, 153
21:55:17, 165
21:55:17, 170
21:55:17, 162
21:55:17, 156
21:55:17, 167
21:55:17, 184
21:55:17, 193
21:55:17, 194
21:55:17, 199
21:55:17, 193
21:55:17, 169
21:55:17, 163
21:55:17, 171
21:55:17, 193
21:55:17, 201
21:55:17, 198
21:55:17, 182
21:55:17, 176
21:55:17, 172
21:55:17, 179
21:55:17, 186
21:55:17, 185
21:55:17, 183
21:55:17, 181
21:55:17, 184
21:55:17, 183
21:55:17, 172
21:55:17, 165
21:55:17, 151
21:55:17, 148
21:55:17, 154
21:55:17, 171
21:55:17, 188
21:55:17, 192
21:55:17, 185
21:55:17, 182
21:55:17, 180
21:55:17, 188
21:55:17, 194
21:55:17, 180
21:55:17, 178
21:55:17, 184
21:55:17, 200
21:55:17, 210
21:55:17, 197
21:55:17, 184
21:55:17, 184
21:55:17, 192
21:55:17, 176
21:55:17, 146
21:55:17, 128
21:55:17, 113
21:55:17, 100
21:55:17, 98
21:55:17, 106
21:55:17, 120
21:55:17, 123
21:55:17, 113
21:55:17, 106
21:55:17, 118
21:55:17, 118
21:55:17, 99
21:55:17, 84
21:55:17, 77
21:55:17, 68
21:55:17, 44
21:55:17, 34
21:55:17, 45
21:55:17, 64
21:55:17, 71
21:55:17, 74
21:55:17, 69
21:55:17, 58
21:55:17, 60
21:55:17, 67
21:55:17, 65
21:55:17, 51
21:55:17, 24
21:55:17, 6
21:55:17, 13
21:55:17, 26
21:55:17, 23
21:55:17, 16
21:55:17, 11
21:55:17, 22
21:55:17, 27
21:55:17, 12
21:55:17, -8
21:55:17, -7
21:55:17, 10
21:55:17, 25
21:55:17, 35
21:55:17, 38
21:55:17, 44
21:55:17, 51
21:55:17, 49
21:55:17, 40
21:55:17, 33
21:55:17, 33
21:55:17, 38
21:55:17, 37
21:55:17, 23
21:55:17, 13
21:55:17, 10
21:55:17, 10
21:55:17, 18
21:55:17, 25
21:55:17, 34
21:55:17, 38
21:55:17, 38
21:55:17, 40
21:55:17, 36
21:55:17, 21
21:55:17, 9
21:55:17, 6
21:55:17, -2
21:55:17, -10
21:55:17, -6
21:55:17, -5
21:55:17, -18
21:55:17, -30
21:55:17, -28
21:55:17, 0
21:55:17, 25
21:55:17, 23
21:55:17, 6
21:55:17, 0
21:55:17, 11
21:55:17, 24
21:55:17, 21
21:55:17, 16
21:55:17, 13
21:55:17, 8
21:55:17, -2
21:55:17, -10
21:55:17, -13
21:55:17, -7
21:55:17, 11
21:55:17, 22
21:55:17, 26
21:55:17, 29
21:55:17, 39
21:55:17, 69
21:55:17, 97
21:55:17, 92
21:55:17, 69
21:55:17, 54
21:55:17, 52
21:55:17, 64
21:55:17, 81
21:55:17, 97
21:55:17, 101
21:55:17, 88
21:55:17, 68
21:55:17, 55
21:55:17, 58
21:55:17, 82
21:55:17, 113
21:55:17, 120
21:55:17, 102
21:55:17, 84
21:55:17, 80
21:55:17, 82
21:55:17, 81
21:55:17, 65
21:55:17, 41
21:55:17, 33
21:55:17, 39
21:55:17, 56
21:55:17, 65
21:55:17, 58
21:55:17, 56
21:55:17, 58
21:55:17, 69
21:55:17, 92
21:55:17, 121
21:55:17, 131
21:55:17, 106
21:55:17, 70
21:55:17, 56
21:55:17, 60
21:55:17, 75
21:55:17, 90
21:55:17, 96
21:55:17, 81
21:55:17, 66
21:55:17, 55
21:55:17, 50
21:55:17, 50
21:55:17, 61
21:55:17, 74
21:55:17, 64
21:55:17, 41
21:55:17, 21
21:55:17, 7
21:55:17, 3
21:55:17, 8
21:55:17, 24
21:55:17, 33
21:55:17, 26
21:55:17, 16
21:55:17, 0
21:55:17, -11
21:55:17, -17
21:55:17, -18
21:55:17, -9
21:55:17, 1
21:55:17, 5
21:55:17, 9
21:55:17, 5
21:55:17, -7
21:55:17, -13
21:55:17, -5
21:55:17, 9
21:55:17, 10
