Time, Value
21:52:29, 65
21:52:29, 55
21:52:29, 41
21:52:29, 36
21:52:29, 32
21:52:29, 42
21:52:29, 68
21:52:29, 82
21:52:29, 96
21:52:29, 119
21:52:29, 124
21:52:29, 99
21:52:29, 59
21:52:29, 59
21:52:29, 97
21:52:29, 136
21:52:29, 154
21:52:29, 140
21:52:29, 104
21:52:29, 69
21:52:29, 57
21:52:29, 53
21:52:29, 57
21:52:29, 72
21:52:29, 89
21:52:29, 113
21:52:29, 135
21:52:29, 106
21:52:29, 37
21:52:29, 0
21:52:29, 6
21:52:29, 21
21:52:29, 29
21:52:29, 34
21:52:29, 23
21:52:29, -26
21:52:29, -89
21:52:29, -116
21:52:29, -103
21:52:29, -60
21:52:29, -3
21:52:29, 32
21:52:29, 33
21:52:29, 9
21:52:29, -19
21:52:29, -49
21:52:29, -71
21:52:29, -81
21:52:29, -62
21:52:29, -35
21:52:29, -4
21:52:29, -2
21:52:29, -43
21:52:29, -81
21:52:29, -59
21:52:29, -46
21:52:29, -69
21:52:29, -43
21:52:29, 22
21:52:29, 68
21:52:29, 84
21:52:29, 69
21:52:29, 28
21:52:29, 0
21:52:29, 18
21:52:29, 72
21:52:29, 115
21:52:29, 118
21:52:29, 103
21:52:29, 90
21:52:29, 89
21:52:29, 102
21:52:29, 105
21:52:29, 113
21:52:29, 145
21:52:29, 173
21:52:29, 178
21:52:29, 164
21:52:29, 138
21:52:29, 101
21:52:29, 74
21:52:29, 58
21:52:29, 59
21:52:29, 76
21:52:29, 96
21:52:29, 105
21:52:29, 99
21:52:29, 70
21:52:29, 26
21:52:29, 0
21:52:29, -1
21:52:29, 10
21:52:29, 36
21:52:29, 50
21:52:29, 39
21:52:29, 17
21:52:29, 3
21:52:29, 19
21:52:29, 42
21:52:29, 54
21:52:29, 67
21:52:29, 87
21:52:29, 69
21:52:29, 34
21:52:29, 9
21:52:29, -4
21:52:29, 0
21:52:29, 17
21:52:29, 41
21:52:29, 50
21:52:29, 70
21:52:29, 84
21:52:29, 58
21:52:29, 32
21:52:29, 36
21:52:29, 58
21:52:29, 70
21:52:29, 76
21:52:29, 89
21:52:29, 82
21:52:29, 75
21:52:29, 70
21:52:29, 53
21:52:29, 34
21:52:29, 16
21:52:29, 39
21:52:29, 86
21:52:29, 114
21:52:29, 123
21:52:29, 113
21:52:29, 82
21:52:29, 55
21:52:29, 50
21:52:29, 64
21:52:29, 104
21:52:29, 134
21:52:29, 140
21:52:29, 136
21:52:29, 89
21:52:29, 29
21:52:29, 1
21:52:29, 16
21:52:29, 55
21:52:29, 86
21:52:29, 72
21:52:29, 32
21:52:29, -1
21:52:29, 12
21:52:29, 32
21:52:29, 27
21:52:29, 21
21:52:29, 35
21:52:29, 48
21:52:29, 44
21:52:29, 35
21:52:29, 38
21:52:29, 38
21:52:29, 25
21:52:29, 2
21:52:29, 0
21:52:29, 42
21:52:29, 98
21:52:29, 113
21:52:29, 91
21:52:29, 51
21:52:29, 20
21:52:29, 11
21:52:29, 35
21:52:29, 74
21:52:29, 108
21:52:29, 120
21:52:29, 117
21:52:29, 100
21:52:29, 56
21:52:29, 33
21:52:29, 41
21:52:29, 66
21:52:29, 90
21:52:29, 117
21:52:29, 116
21:52:29, 84
21:52:29, 51
21:52:29, 50
21:52:29, 51
21:52:29, 49
21:52:29, 82
21:52:29, 130
21:52:29, 134
21:52:29, 100
21:52:29, 82
21:52:29, 80
21:52:29, 71
21:52:29, 68
21:52:29, 71
21:52:29, 96
21:52:29, 106
21:52:29, 90
21:52:29, 74
21:52:29, 59
21:52:29, 36
21:52:29, 10
21:52:29, 4
